Vardas         Pavarde        ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    Egzaminas   
Vardas50       Pavarde50      4       9       10      3       3       6       3       8       3       7       2       6       5       8       6           
Vardas51       Pavarde51      8       4       4       2       5       8       6       8       1       6       3       9       9       5       10          
Vardas52       Pavarde52      1       7       3       7       1       10      8       3       9       8       4       9       8       10      4           
Vardas53       Pavarde53      10      6       2       7       7       5       3       1       9       2       3       9       2       1       8           
Vardas54       Pavarde54      1       7       3       1       6       8       9       9       8       5       4       8       6       10      5           
Vardas55       Pavarde55      2       6       8       8       9       5       4       3       4       7       2       3       10      3       10          
Vardas56       Pavarde56      8       8       10      4       8       1       3       1       1       7       4       1       1       2       1           
Vardas57       Pavarde57      3       9       5       4       6       2       9       9       4       6       5       4       2       3       4           
Vardas58       Pavarde58      4       9       1       7       10      5       1       7       3       3       2       7       10      1       1           
Vardas59       Pavarde59      6       3       9       10      9       6       1       5       2       3       7       9       8       10      2           
Vardas60       Pavarde60      5       2       1       7       1       1       10      10      1       6       9       6       7       3       5           
Vardas61       Pavarde61      5       8       2       5       2       8       1       7       6       7       1       2       3       7       5           
Vardas62       Pavarde62      6       6       1       7       2       5       4       7       1       3       5       8       2       6       10          
Vardas63       Pavarde63      5       1       5       5       1       1       3       9       1       1       7       2       6       10      10          
Vardas64       Pavarde64      2       1       4       1       1       5       4       4       6       8       5       4       4       2       8           
Vardas65       Pavarde65      10      6       8       9       4       5       2       5       1       3       8       10      8       7       2           
Vardas66       Pavarde66      8       5       7       5       7       7       5       8       1       7       2       3       4       6       4           
Vardas67       Pavarde67      5       5       2       3       7       8       9       9       3       9       5       8       6       7       4           
Vardas68       Pavarde68      10      3       6       7       7       5       5       4       3       5       6       7       9       6       8           
Vardas69       Pavarde69      1       4       1       2       1       6       4       9       7       1       2       8       9       4       1           
Vardas70       Pavarde70      2       5       10      1       2       7       3       8       9       1       1       2       4       9       6           
Vardas71       Pavarde71      6       10      1       7       3       4       4       4       3       8       1       7       10      6       7           
Vardas72       Pavarde72      5       1       6       3       8       4       1       7       7       9       10      10      8       2       10          
Vardas73       Pavarde73      2       10      6       5       4       2       1       8       9       1       5       6       6       7       3           
Vardas74       Pavarde74      4       7       8       7       3       7       8       2       10      2       3       8       3       5       7           
Vardas75       Pavarde75      9       8       10      7       5       8       3       6       5       2       10      5       6       9       1           
Vardas76       Pavarde76      1       4       2       4       2       2       5       4       5       2       10      2       7       3       2           
Vardas77       Pavarde77      5       10      5       8       8       7       10      9       3       8       2       5       9       2       2           
Vardas78       Pavarde78      7       5       7       7       8       3       3       4       7       3       2       5       5       1       5           
Vardas79       Pavarde79      9       4       8       8       1       2       10      4       5       4       4       9       8       3       9           
Vardas80       Pavarde80      6       2       2       1       8       1       5       5       6       4       8       4       2       8       6           
Vardas81       Pavarde81      7       9       5       10      3       7       8       9       7       4       4       9       1       6       1           
Vardas82       Pavarde82      7       8       1       7       3       5       4       9       4       1       7       1       6       8       5           
Vardas83       Pavarde83      9       6       5       2       3       6       2       4       8       5       2       6       1       9       7           
Vardas84       Pavarde84      7       1       9       10      8       6       1       8       3       6       10      7       4       1       8           
Vardas85       Pavarde85      8       3       2       4       6       2       8       9       5       6       6       1       8       8       7           
Vardas86       Pavarde86      3       6       4       3       3       9       1       4       3       2       2       4       4       2       8           
Vardas87       Pavarde87      3       5       3       2       1       3       10      6       5       1       9       4       4       10      3           
Vardas88       Pavarde88      2       10      3       7       10      2       3       6       8       10      6       4       3       1       1           
Vardas89       Pavarde89      5       5       1       10      4       7       10      8       10      4       7       10      5       7       7           
Vardas90       Pavarde90      8       7       6       5       7       10      1       8       2       7       7       5       2       5       9           
Vardas91       Pavarde91      3       4       4       7       8       4       4       9       10      10      2       10      10      6       4           
Vardas92       Pavarde92      3       10      4       6       3       5       5       7       9       6       7       10      7       6       6           
Vardas93       Pavarde93      9       10      3       9       9       1       3       1       10      10      9       1       4       1       4           
Vardas94       Pavarde94      1       3       4       5       10      8       8       4       4       8       9       2       8       9       1           
Vardas95       Pavarde95      9       6       5       9       9       10      10      5       10      1       10      10      7       1       9           
Vardas96       Pavarde96      2       1       4       10      9       1       7       6       5       3       7       2       6       4       9           
Vardas97       Pavarde97      9       8       4       2       5       7       5       9       8       4       2       6       10      1       8           
Vardas98       Pavarde98      1       4       5       9       1       1       5       4       9       4       3       2       3       9       9           
Vardas99       Pavarde99      10      1       2       9       9       8       9       4       2       5       4       10      1       1       7           
Vardas100      Pavarde100     10      9       1       4       7       4       2       1       1       1       1       4       1       3       9           
Vardas101      Pavarde101     8       9       7       1       9       4       2       7       3       2       2       6       2       8       6           
Vardas102      Pavarde102     7       7       2       7       4       9       2       4       10      1       4       7       7       5       6           
Vardas103      Pavarde103     6       4       6       10      6       5       5       4       10      3       7       1       6       8       4           
Vardas104      Pavarde104     1       10      6       10      4       5       2       6       8       8       1       9       3       1       7           
Vardas105      Pavarde105     5       3       5       5       9       9       6       5       7       5       9       6       7       10      4           
Vardas106      Pavarde106     1       2       5       10      3       10      2       5       5       7       8       6       10      4       10          
Vardas107      Pavarde107     6       3       4       4       6       2       7       5       6       10      3       9       1       8       10          
Vardas108      Pavarde108     8       9       7       4       4       8       5       2       10      4       9       10      2       1       1           
Vardas109      Pavarde109     8       5       9       8       10      6       7       5       7       5       1       5       1       2       9           
Vardas110      Pavarde110     6       3       10      5       5       10      7       8       5       10      4       8       2       3       3           
Vardas111      Pavarde111     3       3       6       5       4       4       1       2       1       2       6       2       8       4       6           
Vardas112      Pavarde112     2       2       9       3       9       4       9       4       3       3       2       6       2       5       3           
Vardas113      Pavarde113     10      8       5       6       10      5       5       3       4       4       4       6       4       7       7           
Vardas114      Pavarde114     3       7       1       8       7       1       4       4       10      3       3       2       8       3       5           
Vardas115      Pavarde115     7       6       9       9       5       2       3       4       1       4       7       6       9       10      2           
Vardas116      Pavarde116     1       3       8       8       3       10      6       7       9       3       8       8       8       9       1           
Vardas117      Pavarde117     5       3       4       3       3       1       3       8       10      8       3       6       1       3       7           
Vardas118      Pavarde118     4       6       10      8       7       10      2       9       4       7       7       6       4       6       5           
Vardas119      Pavarde119     3       9       9       4       2       7       9       2       7       6       3       5       1       9       10          
Vardas120      Pavarde120     10      4       4       8       1       10      7       4       9       7       2       4       7       10      1           
Vardas121      Pavarde121     2       6       4       7       10      8       10      9       8       7       7       1       2       7       5           
Vardas122      Pavarde122     4       5       10      10      5       10      1       8       2       6       9       3       4       6       8           
Vardas123      Pavarde123     6       4       5       1       7       2       6       8       1       4       2       5       6       9       4           
Vardas124      Pavarde124     5       10      8       1       6       1       8       4       4       8       9       7       6       2       10          
Vardas125      Pavarde125     7       3       6       3       9       2       1       3       2       1       8       3       8       6       3           
Vardas126      Pavarde126     10      6       7       9       5       9       2       10      6       3       3       9       4       9       9           
Vardas127      Pavarde127     1       3       6       10      10      4       1       7       8       4       4       1       3       2       9           
Vardas128      Pavarde128     5       1       8       1       6       6       1       7       3       7       5       10      5       7       7           
Vardas129      Pavarde129     9       3       2       4       1       10      5       1       4       8       1       9       3       8       4           
Vardas130      Pavarde130     1       6       2       1       1       8       7       3       8       4       7       9       1       5       4           
Vardas131      Pavarde131     5       3       7       5       4       7       2       8       3       8       8       8       4       9       10          
Vardas132      Pavarde132     2       10      7       2       8       7       7       8       3       4       6       5       8       7       9           
Vardas133      Pavarde133     5       8       3       7       2       8       6       2       5       2       9       4       4       9       10          
Vardas134      Pavarde134     5       3       5       7       3       1       5       5       3       5       9       3       1       3       6           
Vardas135      Pavarde135     5       10      3       4       3       5       1       8       4       6       1       1       1       1       9           
Vardas136      Pavarde136     3       5       10      4       8       6       5       1       8       9       7       7       8       5       1           
Vardas137      Pavarde137     2       4       3       3       3       1       1       10      10      10      4       6       5       1       10          
Vardas138      Pavarde138     6       1       2       10      4       7       9       2       1       6       10      7       9       5       3           
Vardas139      Pavarde139     6       2       8       8       8       1       3       8       9       3       6       8       8       1       5           
Vardas140      Pavarde140     3       3       10      2       10      6       7       8       6       1       3       4       7       2       3           
Vardas141      Pavarde141     2       1       2       6       4       9       10      4       9       8       1       4       6       8       10          
Vardas142      Pavarde142     8       5       9       7       5       9       4       9       7       8       2       8       9       2       10          
Vardas143      Pavarde143     5       4       1       9       7       7       4       4       6       1       4       7       3       1       8           
Vardas144      Pavarde144     5       6       3       4       4       1       10      6       4       7       8       2       8       9       2           
Vardas145      Pavarde145     8       2       1       7       6       3       7       4       6       7       2       2       4       10      5           
Vardas146      Pavarde146     4       9       6       10      9       6       7       9       3       3       9       5       3       3       2           
Vardas147      Pavarde147     4       1       8       3       6       3       5       7       10      7       4       10      3       6       1           
Vardas148      Pavarde148     10      4       3       1       8       4       7       8       1       7       1       6       3       7       1           
Vardas149      Pavarde149     2       4       4       3       6       5       7       5       6       5       9       6       3       8       1           
Vardas150      Pavarde150     9       5       2       1       5       1       4       1       8       6       1       9       6       9       5           
Vardas151      Pavarde151     2       1       1       4       3       2       8       9       7       5       6       9       9       7       2           
Vardas152      Pavarde152     4       8       3       8       8       1       6       1       4       3       6       9       4       2       3           
Vardas153      Pavarde153     6       5       2       7       6       6       7       3       2       8       5       3       9       2       10          
Vardas154      Pavarde154     9       4       9       3       3       7       6       3       7       6       9       1       8       8       3           
Vardas155      Pavarde155     2       5       2       9       4       6       8       6       4       7       8       3       1       10      3           
Vardas156      Pavarde156     5       2       2       9       8       5       2       7       5       7       10      6       10      1       7           
Vardas157      Pavarde157     4       1       4       7       10      8       7       8       10      5       5       4       8       7       4           
Vardas158      Pavarde158     9       10      3       5       5       7       10      2       6       3       2       1       1       10      9           
Vardas159      Pavarde159     4       5       7       9       4       8       8       10      1       4       5       9       2       8       5           
Vardas160      Pavarde160     4       3       10      6       8       10      8       7       8       7       7       3       10      5       8           
Vardas161      Pavarde161     2       5       8       1       7       6       8       7       3       5       4       1       5       3       9           
Vardas162      Pavarde162     3       2       10      9       1       4       5       6       5       1       4       10      4       3       9           
Vardas163      Pavarde163     2       8       2       8       6       2       8       4       4       1       2       5       2       7       8           
Vardas164      Pavarde164     9       4       5       4       9       2       8       6       4       8       5       3       5       4       1           
Vardas165      Pavarde165     3       7       3       9       1       1       3       2       4       6       3       2       1       6       8           
Vardas166      Pavarde166     6       7       10      7       4       7       3       9       9       8       8       4       2       10      1           
Vardas167      Pavarde167     3       4       4       2       1       4       4       6       3       3       8       5       4       5       3           
Vardas168      Pavarde168     1       10      9       1       3       2       7       1       7       1       3       10      4       7       2           
Vardas169      Pavarde169     10      7       6       5       5       4       10      8       10      4       10      4       9       9       1           
Vardas170      Pavarde170     4       5       7       1       1       5       2       1       6       6       2       2       3       6       2           
Vardas171      Pavarde171     2       9       6       6       10      2       2       8       9       4       6       5       4       7       8           
Vardas172      Pavarde172     2       2       3       3       1       2       10      8       6       1       8       6       6       5       6           
Vardas173      Pavarde173     4       1       10      4       7       1       4       5       2       9       7       6       10      8       3           
Vardas174      Pavarde174     5       10      4       6       1       1       3       6       7       7       5       2       9       10      1           
Vardas175      Pavarde175     9       10      10      1       8       10      6       1       8       7       9       2       4       3       10          
Vardas176      Pavarde176     4       8       1       2       3       8       6       6       7       8       1       8       5       6       5           
Vardas177      Pavarde177     7       4       8       1       4       9       5       6       9       4       8       10      6       5       9           
Vardas178      Pavarde178     4       3       1       5       8       8       8       1       4       3       10      7       6       6       8           
Vardas179      Pavarde179     6       7       10      8       7       9       5       8       2       4       10      7       5       7       4           
Vardas180      Pavarde180     9       1       1       1       5       2       9       6       6       1       3       4       9       9       9           
Vardas181      Pavarde181     10      7       8       1       6       1       6       9       6       1       3       8       5       2       1           
Vardas182      Pavarde182     7       3       1       4       8       8       9       8       5       4       4       9       7       9       7           
Vardas183      Pavarde183     6       8       5       10      9       1       6       8       7       5       1       3       8       7       10          
Vardas184      Pavarde184     10      6       3       10      2       6       4       2       5       5       9       8       2       2       9           
Vardas185      Pavarde185     6       3       7       4       2       7       8       1       2       10      1       3       10      10      8           
Vardas186      Pavarde186     3       1       4       9       4       6       4       5       1       6       4       9       2       6       2           
Vardas187      Pavarde187     4       7       6       6       7       6       5       10      3       3       9       4       2       10      10          
Vardas188      Pavarde188     7       8       7       5       9       2       5       6       6       4       5       9       6       4       2           
Vardas189      Pavarde189     9       6       1       7       7       4       4       9       5       10      2       6       6       9       10          
Vardas190      Pavarde190     5       1       9       6       4       7       4       9       7       4       2       1       9       3       8           
Vardas191      Pavarde191     1       1       5       7       3       10      9       10      8       8       8       7       5       5       5           
Vardas192      Pavarde192     10      4       8       5       10      7       2       4       1       2       10      1       10      2       8           
Vardas193      Pavarde193     3       3       10      1       3       7       10      10      5       5       2       4       7       4       1           
Vardas194      Pavarde194     4       7       10      5       5       1       7       1       4       10      7       6       4       8       8           
Vardas195      Pavarde195     7       4       10      9       6       4       10      2       7       4       3       6       5       3       4           
Vardas196      Pavarde196     4       10      5       6       6       4       3       6       10      10      5       10      4       4       6           
Vardas197      Pavarde197     1       3       4       9       9       3       5       6       1       9       9       4       9       2       7           
Vardas198      Pavarde198     7       3       2       5       3       9       2       10      4       2       2       8       5       3       6           
Vardas199      Pavarde199     4       2       9       3       8       7       5       10      9       8       6       8       7       7       10          
Vardas200      Pavarde200     5       4       8       2       3       5       4       9       3       7       1       9       3       6       4           
Vardas201      Pavarde201     6       10      7       9       6       7       3       3       6       4       10      5       3       7       3           
Vardas202      Pavarde202     8       7       9       5       4       1       10      2       3       8       10      6       10      7       5           
Vardas203      Pavarde203     4       3       5       5       7       7       9       9       5       2       7       3       5       1       3           
Vardas204      Pavarde204     4       2       3       1       3       4       7       5       5       7       7       3       2       2       6           
Vardas205      Pavarde205     6       7       4       4       5       10      10      9       10      1       6       8       3       8       4           
Vardas206      Pavarde206     2       4       2       7       9       4       4       8       10      7       2       9       7       7       3           
Vardas207      Pavarde207     4       8       3       9       5       9       7       4       4       7       3       8       9       7       2           
Vardas208      Pavarde208     1       5       6       5       8       5       3       2       5       1       6       1       6       4       10          
Vardas209      Pavarde209     7       9       3       4       2       2       5       1       2       5       4       8       1       4       5           
Vardas210      Pavarde210     6       4       4       8       7       7       9       3       3       8       5       2       6       6       9           
Vardas211      Pavarde211     1       7       5       2       3       7       2       3       9       7       5       7       2       9       2           
Vardas212      Pavarde212     9       5       9       3       4       5       10      8       5       4       6       8       3       8       1           
Vardas213      Pavarde213     4       9       8       3       7       3       7       6       8       4       7       9       8       9       9           
Vardas214      Pavarde214     9       2       4       10      10      9       5       8       7       6       1       9       8       3       6           
Vardas215      Pavarde215     3       4       2       1       5       2       3       7       2       3       5       9       1       2       9           
Vardas216      Pavarde216     7       5       4       10      5       5       9       7       9       6       10      6       1       9       10          
Vardas217      Pavarde217     4       5       10      7       8       5       4       7       2       7       8       5       3       10      2           
Vardas218      Pavarde218     6       1       9       4       3       1       8       7       8       3       2       2       10      7       8           
Vardas219      Pavarde219     9       3       4       7       6       8       8       5       1       8       4       4       5       4       3           
Vardas220      Pavarde220     5       10      8       2       5       6       10      9       10      6       10      9       2       5       5           
Vardas221      Pavarde221     1       4       3       8       2       10      10      6       5       8       4       5       9       5       2           
Vardas222      Pavarde222     1       8       4       9       3       6       2       4       8       8       6       3       7       7       10          
Vardas223      Pavarde223     9       4       7       4       4       5       6       7       2       10      3       9       10      7       5           
Vardas224      Pavarde224     7       4       2       5       3       1       6       2       4       1       8       4       4       2       10          
Vardas225      Pavarde225     7       9       3       3       8       8       9       2       2       8       4       5       5       1       7           
Vardas226      Pavarde226     1       3       7       9       4       4       2       2       2       4       10      10      7       5       1           
Vardas227      Pavarde227     1       2       1       10      8       8       4       4       3       7       5       8       1       3       8           
Vardas228      Pavarde228     1       9       6       2       9       6       10      3       10      3       1       2       3       5       3           
Vardas229      Pavarde229     4       10      2       3       10      7       4       8       4       4       2       3       1       9       3           
Vardas230      Pavarde230     3       8       7       2       5       4       9       9       7       7       1       1       4       7       1           
Vardas231      Pavarde231     5       9       7       8       5       4       8       4       3       5       5       2       4       9       7           
Vardas232      Pavarde232     6       3       7       3       8       10      1       7       6       6       2       4       1       1       7           
Vardas233      Pavarde233     7       9       9       2       6       9       8       4       3       3       4       10      1       5       2           
Vardas234      Pavarde234     3       5       1       5       9       2       1       3       7       4       9       6       2       5       9           
Vardas235      Pavarde235     6       5       3       1       5       5       8       7       8       6       9       3       1       3       8           
Vardas236      Pavarde236     9       6       3       4       7       2       9       8       9       5       1       2       6       5       1           
Vardas237      Pavarde237     3       10      4       6       7       9       1       7       10      1       8       4       5       2       8           
Vardas238      Pavarde238     2       7       2       2       3       4       10      3       8       4       5       2       2       10      10          
Vardas239      Pavarde239     5       9       3       10      1       5       8       5       10      7       6       4       1       8       8           
Vardas240      Pavarde240     4       6       1       5       9       3       8       9       7       10      8       1       8       9       5           
Vardas241      Pavarde241     6       1       3       10      4       3       7       7       5       10      7       1       1       8       4           
Vardas242      Pavarde242     4       3       2       2       3       5       10      7       4       4       2       7       9       4       10          
Vardas243      Pavarde243     3       1       2       6       6       4       4       9       10      1       5       1       8       9       9           
Vardas244      Pavarde244     8       7       7       4       6       2       9       7       10      9       9       5       5       7       4           
Vardas245      Pavarde245     9       10      10      1       5       7       1       3       1       8       6       10      5       6       2           
Vardas246      Pavarde246     1       7       7       1       1       1       2       1       4       3       5       1       4       7       5           
Vardas247      Pavarde247     7       6       4       4       10      8       8       10      3       6       7       1       7       9       1           
Vardas248      Pavarde248     8       7       7       7       3       7       5       7       4       6       2       2       1       1       7           
Vardas249      Pavarde249     4       3       5       8       8       5       6       4       7       8       4       9       3       7       9           
Vardas250      Pavarde250     4       1       5       10      7       5       6       9       2       8       7       1       7       4       8           
Vardas251      Pavarde251     2       4       7       7       9       5       7       4       2       10      9       9       4       9       4           
Vardas252      Pavarde252     2       9       10      8       6       1       5       6       10      8       9       8       3       3       5           
Vardas253      Pavarde253     9       6       9       2       4       5       10      9       10      9       1       3       10      8       8           
Vardas254      Pavarde254     7       5       1       1       5       4       6       4       8       3       5       8       6       4       1           
Vardas255      Pavarde255     7       5       9       8       6       9       9       9       7       7       4       1       7       9       1           
Vardas256      Pavarde256     10      9       6       10      7       3       1       1       7       10      6       5       2       4       4           
Vardas257      Pavarde257     6       8       2       10      2       3       7       8       4       6       8       8       8       1       8           
Vardas258      Pavarde258     10      8       9       1       10      1       9       4       3       6       10      1       9       10      4           
Vardas259      Pavarde259     10      4       6       3       3       4       10      3       4       7       10      2       2       7       10          
Vardas260      Pavarde260     7       1       3       2       1       5       5       1       5       7       2       8       7       4       5           
Vardas261      Pavarde261     6       1       8       2       8       5       4       2       7       9       6       7       3       5       4           
Vardas262      Pavarde262     5       3       7       6       6       1       1       3       6       2       4       1       10      4       6           
Vardas263      Pavarde263     10      9       1       5       4       6       3       4       6       1       5       5       6       6       3           
Vardas264      Pavarde264     9       9       1       8       6       6       4       4       4       6       8       7       4       1       1           
Vardas265      Pavarde265     7       4       1       2       9       3       9       9       1       2       4       4       8       4       1           
Vardas266      Pavarde266     8       4       10      6       3       10      4       10      4       4       2       10      10      9       1           
Vardas267      Pavarde267     6       4       10      4       8       1       3       7       2       5       5       4       8       7       4           
Vardas268      Pavarde268     8       3       8       8       9       2       4       6       3       7       2       8       1       4       8           
Vardas269      Pavarde269     8       2       3       5       3       10      7       5       9       6       3       1       8       5       5           
Vardas270      Pavarde270     3       2       5       9       3       5       9       5       2       1       8       10      10      5       1           
Vardas271      Pavarde271     5       10      4       7       9       9       7       3       9       4       2       7       9       3       4           
Vardas272      Pavarde272     3       7       4       3       5       7       4       7       2       2       3       3       10      5       10          
Vardas273      Pavarde273     6       1       9       2       8       5       9       2       4       3       4       3       6       3       8           
Vardas274      Pavarde274     7       2       5       8       2       3       6       10      7       4       9       1       3       3       6           
Vardas275      Pavarde275     10      3       8       9       1       8       5       8       5       2       7       6       6       3       2           
Vardas276      Pavarde276     6       10      6       6       1       5       5       2       8       1       5       3       4       8       1           
Vardas277      Pavarde277     9       6       4       10      3       4       7       3       9       1       3       6       10      7       2           
Vardas278      Pavarde278     4       7       8       7       8       10      1       7       2       1       6       7       9       7       2           
Vardas279      Pavarde279     8       1       5       10      7       6       2       8       2       7       3       1       3       1       1           
Vardas280      Pavarde280     1       6       10      1       7       1       4       3       4       7       1       3       7       8       9           
Vardas281      Pavarde281     4       7       1       1       4       9       8       1       6       5       4       5       10      9       6           
Vardas282      Pavarde282     4       6       2       4       8       7       5       4       10      5       3       9       6       1       4           
Vardas283      Pavarde283     5       6       1       4       3       9       10      10      3       4       6       2       4       5       8           
Vardas284      Pavarde284     9       4       3       4       10      8       2       2       10      6       6       10      2       9       1           
Vardas285      Pavarde285     2       5       5       6       4       9       9       6       10      5       6       2       2       6       10          
Vardas286      Pavarde286     9       2       8       2       2       7       1       7       2       8       10      2       9       8       4           
Vardas287      Pavarde287     7       2       7       10      8       3       5       3       10      8       4       3       1       7       7           
Vardas288      Pavarde288     3       6       7       6       9       5       6       3       5       10      9       10      3       3       6           
Vardas289      Pavarde289     5       5       3       3       4       6       8       9       2       5       5       9       5       2       3           
Vardas290      Pavarde290     10      5       8       9       8       4       6       9       6       1       4       10      6       9       3           
