Vardas         Pavarde        ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    Egzaminas   
Vardas94       Pavarde94      4       6       9       4       10      7       5       3       3       2       10      9       10      7       6           
Vardas95       Pavarde95      8       4       6       4       7       4       3       3       7       6       6       8       5       2       4           
Vardas96       Pavarde96      5       6       4       1       9       1       7       7       5       10      10      2       7       1       4           
Vardas97       Pavarde97      10      6       5       1       10      3       3       1       5       10      7       7       6       6       9           
Vardas98       Pavarde98      9       6       6       2       2       7       8       7       3       6       3       4       6       5       7           
Vardas99       Pavarde99      8       4       8       8       8       8       6       3       9       5       8       5       5       9       1           
Vardas100      Pavarde100     10      1       4       2       3       1       2       9       6       8       4       2       1       2       5           
Vardas101      Pavarde101     5       3       2       3       9       10      10      8       2       6       3       4       9       6       3           
Vardas102      Pavarde102     3       6       1       6       5       1       7       10      1       8       8       2       5       9       7           
Vardas103      Pavarde103     9       4       10      9       5       1       7       2       9       9       3       1       6       8       2           
Vardas104      Pavarde104     9       5       1       5       5       4       5       9       3       10      2       2       3       1       2           
Vardas105      Pavarde105     6       1       8       8       4       1       6       10      3       1       7       2       9       1       8           
Vardas106      Pavarde106     4       2       6       7       7       8       7       10      10      3       4       7       4       7       2           
Vardas107      Pavarde107     3       2       2       1       7       1       1       10      1       3       10      4       8       7       10          
Vardas108      Pavarde108     10      4       2       6       6       1       7       8       2       2       9       7       3       5       2           
Vardas109      Pavarde109     2       7       2       9       2       5       8       6       4       8       5       9       5       1       1           
Vardas110      Pavarde110     2       5       7       9       7       3       8       6       10      8       7       10      1       6       10          
Vardas111      Pavarde111     9       10      4       1       2       5       10      6       1       4       2       1       8       8       6           
Vardas112      Pavarde112     1       1       7       5       9       5       6       4       1       9       7       10      9       9       8           
Vardas113      Pavarde113     3       6       6       4       2       8       6       6       2       4       8       6       9       8       2           
Vardas114      Pavarde114     7       3       2       1       9       4       3       7       5       7       1       5       10      1       10          
Vardas115      Pavarde115     5       4       3       2       4       5       10      2       4       7       10      5       7       3       6           
Vardas116      Pavarde116     7       5       9       4       6       2       3       8       4       6       2       8       7       8       1           
Vardas117      Pavarde117     7       9       4       8       2       7       5       10      1       6       7       1       9       4       9           
Vardas118      Pavarde118     4       6       7       10      3       8       10      9       9       2       8       2       9       4       4           
Vardas119      Pavarde119     5       10      3       2       5       5       9       4       10      5       6       3       8       10      6           
Vardas120      Pavarde120     2       9       6       8       6       4       10      4       6       3       10      1       9       1       4           
Vardas121      Pavarde121     2       4       9       9       2       7       10      1       8       7       2       7       9       8       6           
Vardas122      Pavarde122     6       5       9       8       2       8       4       7       7       10      1       7       3       10      7           
Vardas123      Pavarde123     7       6       10      5       7       5       5       8       4       4       1       4       6       9       3           
Vardas124      Pavarde124     9       5       1       4       8       8       1       6       6       3       6       3       6       8       2           
Vardas125      Pavarde125     2       6       6       1       3       2       5       10      8       4       5       5       7       5       3           
Vardas126      Pavarde126     5       9       7       3       1       4       9       9       8       5       2       8       9       5       4           
Vardas127      Pavarde127     3       3       9       7       3       6       6       7       6       6       4       1       3       6       5           
Vardas128      Pavarde128     7       5       3       5       7       8       8       3       9       3       2       7       2       8       5           
Vardas129      Pavarde129     9       7       9       10      10      8       2       5       7       10      2       5       10      6       9           
Vardas130      Pavarde130     4       7       1       9       2       3       1       8       6       5       8       4       8       9       2           
Vardas131      Pavarde131     5       5       6       9       7       5       10      8       6       5       3       1       8       4       10          
Vardas132      Pavarde132     1       9       7       4       10      3       6       1       3       7       2       3       4       10      7           
Vardas133      Pavarde133     4       2       1       3       9       1       8       6       8       3       3       7       9       1       3           
Vardas134      Pavarde134     5       4       9       7       8       7       4       5       4       1       5       3       1       6       1           
Vardas135      Pavarde135     8       4       3       6       3       6       9       8       8       2       10      2       2       3       8           
Vardas136      Pavarde136     1       7       8       7       4       8       8       2       7       1       8       5       9       10      10          
Vardas137      Pavarde137     2       3       5       7       6       4       4       9       2       10      7       2       3       9       2           
Vardas138      Pavarde138     1       4       5       10      8       7       8       6       9       7       4       1       2       9       10          
Vardas139      Pavarde139     5       10      2       6       8       8       2       10      5       9       3       4       8       2       9           
Vardas140      Pavarde140     1       4       6       1       8       2       7       10      9       7       8       8       2       6       2           
Vardas141      Pavarde141     10      6       4       6       7       10      2       1       1       9       9       8       3       4       4           
Vardas142      Pavarde142     4       1       2       8       8       9       2       7       7       8       8       2       9       6       2           
Vardas143      Pavarde143     3       10      4       4       1       9       7       3       6       1       4       2       5       4       6           
Vardas144      Pavarde144     10      4       8       2       5       5       10      7       1       10      7       5       4       1       4           
Vardas145      Pavarde145     8       3       8       3       3       10      6       8       5       7       3       3       4       7       9           
Vardas146      Pavarde146     3       5       4       1       6       8       6       7       6       7       2       10      7       2       10          
Vardas147      Pavarde147     3       7       8       7       1       7       3       9       6       3       1       9       4       3       1           
Vardas148      Pavarde148     2       1       7       10      2       10      6       9       10      9       2       6       10      4       9           
Vardas149      Pavarde149     7       2       1       2       2       5       6       9       6       9       3       1       5       1       4           
Vardas150      Pavarde150     7       7       5       3       9       3       6       10      10      6       2       9       7       7       1           
Vardas151      Pavarde151     3       4       1       4       3       1       2       9       5       6       10      5       9       7       4           
Vardas152      Pavarde152     8       6       1       2       1       1       3       8       7       1       10      4       10      7       8           
Vardas153      Pavarde153     8       3       1       10      9       6       10      8       7       10      7       4       6       7       1           
Vardas154      Pavarde154     6       8       6       3       6       2       2       4       2       7       7       8       5       8       9           
Vardas155      Pavarde155     7       2       2       3       7       9       5       2       5       5       1       4       3       7       7           
Vardas156      Pavarde156     10      8       9       5       6       8       4       4       10      5       5       4       8       7       9           
Vardas157      Pavarde157     7       2       10      10      9       8       2       2       1       4       8       8       8       1       4           
Vardas158      Pavarde158     7       9       3       4       4       8       3       2       6       1       3       5       9       10      6           
Vardas159      Pavarde159     6       1       10      4       1       7       7       9       9       9       10      9       9       2       5           
Vardas160      Pavarde160     6       4       6       8       10      5       9       5       5       9       6       7       7       8       2           
Vardas161      Pavarde161     2       4       6       2       7       8       1       5       4       4       3       4       5       2       3           
Vardas162      Pavarde162     5       1       3       4       4       1       7       7       4       2       2       5       10      6       8           
Vardas163      Pavarde163     2       2       5       2       2       9       10      2       6       1       10      2       3       4       1           
Vardas164      Pavarde164     1       3       7       2       4       2       7       5       9       5       10      4       9       4       1           
Vardas165      Pavarde165     1       6       7       8       2       6       9       5       2       6       1       1       2       3       2           
Vardas166      Pavarde166     8       5       10      5       5       10      2       2       10      1       1       10      2       10      4           
Vardas167      Pavarde167     4       1       6       6       8       9       2       8       6       4       9       9       7       2       5           
Vardas168      Pavarde168     10      9       3       8       6       1       5       9       10      1       6       2       8       2       1           
Vardas169      Pavarde169     6       3       6       5       8       3       6       1       9       3       6       6       7       2       7           
Vardas170      Pavarde170     7       8       10      4       4       10      3       6       10      3       10      7       3       5       6           
Vardas171      Pavarde171     10      4       3       9       2       2       10      3       2       10      1       8       2       4       8           
Vardas172      Pavarde172     1       1       7       1       9       4       5       3       8       9       2       4       2       9       8           
Vardas173      Pavarde173     10      8       6       5       9       1       1       8       1       8       8       10      6       8       6           
Vardas174      Pavarde174     1       3       7       7       10      10      5       6       4       9       8       10      2       1       9           
Vardas175      Pavarde175     7       7       6       10      6       9       7       8       6       6       8       4       10      6       1           
Vardas176      Pavarde176     2       6       1       7       2       10      9       2       8       6       9       7       4       8       4           
Vardas177      Pavarde177     6       5       3       4       4       6       9       6       10      9       3       6       5       2       10          
Vardas178      Pavarde178     2       6       9       10      10      7       9       5       6       1       10      10      7       7       5           
Vardas179      Pavarde179     9       6       8       10      8       6       4       4       4       8       6       3       3       2       10          
Vardas180      Pavarde180     10      9       6       5       10      2       9       9       7       3       2       8       7       4       1           
Vardas181      Pavarde181     1       1       10      2       10      6       3       2       7       4       4       5       4       4       3           
Vardas182      Pavarde182     7       1       8       7       6       8       6       2       4       2       6       3       7       3       7           
Vardas183      Pavarde183     6       8       2       6       7       3       7       1       6       10      6       2       3       1       3           
Vardas184      Pavarde184     7       9       1       10      2       4       10      5       4       7       8       9       7       7       10          
Vardas185      Pavarde185     7       5       4       5       6       2       8       1       1       5       9       9       7       3       7           
Vardas186      Pavarde186     9       6       3       1       5       10      6       10      1       8       2       1       6       3       9           
Vardas187      Pavarde187     6       6       5       2       6       3       3       2       2       5       6       4       3       7       10          
Vardas188      Pavarde188     1       2       7       10      6       10      8       10      6       5       5       6       4       6       10          
Vardas189      Pavarde189     6       7       4       4       9       10      4       4       1       9       8       7       4       3       10          
Vardas190      Pavarde190     8       10      10      1       10      10      3       9       4       5       3       1       2       6       7           
Vardas191      Pavarde191     3       7       1       1       2       3       5       2       4       10      10      4       7       1       2           
Vardas192      Pavarde192     3       6       8       2       5       6       6       1       2       2       5       10      5       10      5           
Vardas193      Pavarde193     5       7       8       7       3       10      9       6       2       7       10      6       6       2       4           
Vardas194      Pavarde194     9       9       9       5       1       3       6       2       3       7       9       7       7       7       1           
Vardas195      Pavarde195     8       3       7       7       6       4       7       3       10      2       7       1       3       5       7           
Vardas196      Pavarde196     5       9       1       10      9       3       2       1       4       1       6       8       5       7       1           
Vardas197      Pavarde197     7       8       6       3       7       9       5       3       9       10      1       8       4       5       3           
Vardas198      Pavarde198     4       1       9       5       9       1       8       8       5       10      7       4       2       2       1           
Vardas199      Pavarde199     3       3       8       3       3       1       9       10      8       9       7       4       6       8       3           
Vardas200      Pavarde200     6       7       1       2       9       1       4       9       6       10      2       1       1       5       6           
Vardas201      Pavarde201     7       10      5       1       8       7       8       1       4       3       3       9       8       4       5           
Vardas202      Pavarde202     1       4       6       5       4       9       3       2       9       1       3       2       2       10      10          
Vardas203      Pavarde203     2       6       7       6       8       7       2       5       7       4       3       8       9       9       3           
Vardas204      Pavarde204     4       7       10      8       8       7       9       7       4       4       9       6       4       3       2           
Vardas205      Pavarde205     10      7       2       1       8       1       6       8       5       5       7       4       5       6       4           
Vardas206      Pavarde206     9       4       3       1       2       9       4       6       9       4       4       10      8       1       1           
Vardas207      Pavarde207     1       6       8       8       7       2       7       6       9       2       7       5       9       4       3           
Vardas208      Pavarde208     1       4       7       4       6       3       2       3       1       10      9       3       3       9       4           
Vardas209      Pavarde209     3       8       8       5       7       2       1       3       8       6       9       2       3       10      4           
Vardas210      Pavarde210     4       7       3       2       6       1       7       1       9       1       8       8       6       2       6           
Vardas211      Pavarde211     5       1       2       1       3       9       8       4       6       2       9       8       2       8       4           
Vardas212      Pavarde212     3       2       5       9       3       1       9       3       1       10      3       2       8       7       6           
Vardas213      Pavarde213     8       5       3       5       3       10      6       2       10      8       5       8       2       10      1           
Vardas214      Pavarde214     9       3       3       5       4       7       7       5       1       10      3       8       9       9       4           
Vardas215      Pavarde215     7       8       5       5       2       5       1       5       5       3       10      2       9       10      9           
Vardas216      Pavarde216     9       5       10      1       1       1       8       4       5       4       2       4       7       8       7           
Vardas217      Pavarde217     9       7       5       8       9       6       9       3       1       9       4       5       10      5       4           
Vardas218      Pavarde218     9       3       10      3       6       10      7       10      4       8       8       1       7       10      4           
Vardas219      Pavarde219     10      10      10      7       10      4       7       2       2       10      10      2       4       4       4           
Vardas220      Pavarde220     2       7       4       3       5       1       7       9       10      1       1       8       4       4       8           
Vardas221      Pavarde221     3       4       8       1       5       7       10      10      1       9       2       5       3       8       1           
Vardas222      Pavarde222     8       2       2       5       9       4       2       6       9       4       7       10      5       3       9           
Vardas223      Pavarde223     8       5       8       8       7       6       2       10      7       2       3       4       6       7       8           
Vardas224      Pavarde224     3       7       1       4       6       6       3       9       6       7       7       7       2       4       4           
Vardas225      Pavarde225     2       4       9       10      6       1       4       6       5       4       9       3       3       5       1           
Vardas226      Pavarde226     6       8       7       2       6       5       8       1       10      7       10      5       10      8       8           
Vardas227      Pavarde227     7       6       9       3       4       6       3       8       2       1       9       4       8       8       5           
Vardas228      Pavarde228     9       4       8       9       3       2       1       3       10      9       3       3       10      5       8           
Vardas229      Pavarde229     2       3       3       3       3       3       4       9       9       9       5       2       2       9       6           
Vardas230      Pavarde230     7       7       7       1       10      2       3       10      6       2       10      2       3       9       9           
Vardas231      Pavarde231     6       3       8       4       7       6       4       2       10      9       1       10      4       2       6           
Vardas232      Pavarde232     2       5       6       10      3       1       6       5       10      8       10      8       7       4       9           
Vardas233      Pavarde233     7       1       6       2       4       9       7       10      2       10      8       5       3       6       10          
Vardas234      Pavarde234     8       4       3       9       3       5       7       7       5       10      6       9       4       6       4           
Vardas235      Pavarde235     6       8       7       5       7       4       4       5       8       2       2       2       6       9       8           
Vardas236      Pavarde236     8       9       4       3       10      9       5       10      1       9       10      3       5       1       10          
Vardas237      Pavarde237     6       1       6       1       2       2       1       10      2       6       7       9       3       1       9           
Vardas238      Pavarde238     7       2       7       6       4       10      8       4       5       9       9       8       2       10      8           
Vardas239      Pavarde239     6       6       8       2       1       9       8       6       2       1       5       6       10      6       6           
Vardas240      Pavarde240     7       5       9       3       10      4       5       9       10      1       9       4       10      1       7           
Vardas241      Pavarde241     7       10      1       1       4       4       2       10      8       3       6       3       7       6       2           
Vardas242      Pavarde242     9       4       7       7       3       4       5       9       5       6       4       7       3       6       8           
Vardas243      Pavarde243     1       3       4       9       1       3       9       6       3       6       3       2       8       10      10          
Vardas244      Pavarde244     3       4       3       2       6       3       1       2       8       10      9       6       6       4       10          
Vardas245      Pavarde245     8       10      1       8       7       1       3       1       8       6       8       7       8       3       7           
Vardas246      Pavarde246     10      5       8       1       3       2       7       3       2       9       4       6       7       9       10          
Vardas247      Pavarde247     10      3       2       10      5       9       9       9       2       5       5       6       3       10      2           
Vardas248      Pavarde248     6       8       8       5       5       2       1       7       6       4       2       1       10      9       9           
Vardas249      Pavarde249     8       8       1       1       1       10      8       8       1       7       7       9       3       2       10          
Vardas250      Pavarde250     5       5       1       6       8       4       7       10      7       3       2       7       7       9       1           
Vardas251      Pavarde251     3       6       4       7       2       7       5       9       2       10      6       4       3       3       7           
Vardas252      Pavarde252     1       1       5       8       9       3       2       7       7       4       9       6       2       10      7           
Vardas253      Pavarde253     8       1       10      3       1       3       2       4       10      3       1       8       5       1       10          
Vardas254      Pavarde254     9       9       7       7       6       9       5       4       9       8       8       4       1       1       1           
Vardas255      Pavarde255     7       7       8       9       4       10      7       7       5       9       6       1       3       3       6           
Vardas256      Pavarde256     2       10      4       2       5       1       2       1       9       7       4       9       3       7       1           
Vardas257      Pavarde257     3       10      2       8       3       1       8       9       9       2       3       2       5       1       9           
Vardas258      Pavarde258     2       1       3       6       3       2       8       2       1       3       9       4       2       4       1           
Vardas259      Pavarde259     6       1       5       4       10      10      8       4       6       9       7       8       6       4       4           
Vardas260      Pavarde260     8       4       1       1       8       5       3       7       7       1       2       8       6       1       6           
Vardas261      Pavarde261     1       7       10      9       6       5       8       4       2       7       2       7       6       2       9           
Vardas262      Pavarde262     7       2       2       3       5       6       3       2       8       5       2       2       10      9       7           
Vardas263      Pavarde263     1       4       5       9       7       9       2       5       1       3       8       10      6       5       10          
Vardas264      Pavarde264     2       2       2       8       2       10      1       4       2       3       6       10      1       9       7           
Vardas265      Pavarde265     7       3       8       1       3       3       5       5       7       3       3       3       3       2       8           
Vardas266      Pavarde266     10      3       1       3       3       4       1       2       10      5       6       10      8       2       7           
Vardas267      Pavarde267     8       5       1       4       3       4       4       6       3       8       7       4       8       6       8           
Vardas268      Pavarde268     4       9       3       1       6       9       9       5       1       10      1       4       3       8       5           
Vardas269      Pavarde269     10      5       9       9       9       7       4       10      2       5       6       4       7       10      1           
Vardas270      Pavarde270     10      2       8       2       2       7       6       1       10      10      10      9       2       3       5           
Vardas271      Pavarde271     10      6       3       5       8       6       1       10      8       5       2       5       10      10      7           
Vardas272      Pavarde272     3       6       5       2       9       6       5       4       2       10      1       10      10      5       1           
Vardas273      Pavarde273     8       1       7       10      4       5       9       5       4       6       6       1       3       3       7           
Vardas274      Pavarde274     6       5       4       2       8       7       10      10      3       8       3       1       6       7       5           
Vardas275      Pavarde275     10      10      9       5       6       8       8       3       2       9       4       5       3       6       9           
Vardas276      Pavarde276     5       1       2       5       4       8       3       5       6       3       10      6       9       7       5           
Vardas277      Pavarde277     8       1       9       2       5       1       6       6       1       4       2       9       1       9       1           
Vardas278      Pavarde278     10      6       10      1       4       1       8       5       5       6       5       8       2       8       7           
Vardas279      Pavarde279     7       5       9       9       3       5       1       3       3       10      4       4       7       4       1           
Vardas280      Pavarde280     1       10      2       8       8       5       6       10      4       2       2       2       10      7       6           
Vardas281      Pavarde281     5       3       2       10      5       8       9       2       1       9       2       5       2       3       8           
Vardas282      Pavarde282     1       4       9       5       9       4       9       2       3       1       9       7       9       2       10          
Vardas283      Pavarde283     5       1       5       10      3       9       7       9       10      7       9       6       2       9       5           
Vardas284      Pavarde284     3       3       2       4       8       7       6       8       7       6       5       1       3       3       9           
Vardas285      Pavarde285     1       1       7       5       10      5       7       10      8       6       9       3       1       4       1           
Vardas286      Pavarde286     4       3       3       10      7       7       2       7       2       6       4       8       6       9       4           
Vardas287      Pavarde287     8       7       10      9       6       10      10      9       6       2       10      1       3       10      4           
Vardas288      Pavarde288     5       5       1       2       6       10      3       6       7       4       10      5       8       4       9           
Vardas289      Pavarde289     2       2       7       3       5       1       3       4       3       9       9       5       7       3       7           
Vardas290      Pavarde290     1       7       1       7       5       6       4       6       5       10      5       4       1       5       5           
